|final|generic|Núcleo de Informação e Coordenação do Ponto BR - NIC.br|
|finance|generic|Binky Moon, LLC|
|financial|generic|Binky Moon, LLC|
|firestone|brand|Bridgestone Licensing Services, Inc.|
|firestone|brand|Bridgestone|
|fire|generic|Amazon Registry Services, Inc.|
|firmdale|brand|Firmdale Holdings Limited|
|firmdale|brand|Firmdale Holdings|
|firm|pseudo-sld|custom|
|fishing|generic|Registry Services, LLC|
|fish|generic|Binky Moon, LLC|
|fitness|generic|Binky Moon, LLC|
|fit|generic|Registry Services, LLC|
|fi|country-code|Finnish Transport and Communications Agency Traficom|
|fj|country-code|"The University of the South Pacific|
|fk|country-code|Falkland Islands Government|
|flickr|brand|Flickr, Inc.|
|flickr|brand|Yahoo! (Flickr)|
|flights|generic|Binky Moon, LLC|
|flir|brand|FLIR Systems, Inc.|
|flir|brand|FLIR Systems|
|florist|generic|Binky Moon, LLC|
|flowers|generic|XYZ.COM LLC|
|flsmidth|brand|FLSmidth|
|flsmidth|brand|Not assigned|
|fly|generic|Charleston Road Registry Inc.|
|fm|country-code|FSM Telecommunications Corporation|
|foodnetwork|generic|Not assigned|
|food|generic|Internet Naming Co.|
|football|generic|Binky Moon, LLC|
|foo|generic|Charleston Road Registry Inc.|
|ford|brand|Ford Motor Company|
|ford|brand|Ford|
|forex|generic|Dog Beach, LLC|
|forsale|generic|Dog Beach, LLC|
|forum|generic|Fegistry, LLC|
|foundation|generic|Public Interest Registry (PIR)|
|fox|brand|FOX Registry, LLC|
|fo|country-code|FO Council|
|free|generic|Amazon Registry Services, Inc.|
|fresenius|brand|Fresenius Immobilien-Verwaltungs-GmbH|
|frl|generic|FRLregistry B.V.|
|frogans|brand|OP3FT|
|frontdoor|generic|Not assigned|
|frontier|brand|Frontier Communications Corporation|
|frontier|brand|Frontier Communications|
|fr|country-code|Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)|
|ftr|generic|Frontier Communications Corporation|
|fujitsu|brand|Fujitsu Limited|
|fujitsu|brand|Fujitsu|
|fujixerox|brand|Fuji Xerox|
|fujixerox|brand|Not assigned|
|fund|generic|Binky Moon, LLC|
|fun|generic|Radix Technologies Inc.|
|furniture|generic|Binky Moon, LLC|
|futbol|generic|Dog Beach, LLC|
|fyi|generic|Binky Moon, LLC|
|gallery|generic|Binky Moon, LLC|
|gallo|brand|E & J Gallo Winery|
|gallo|brand|Gallo Vineyards, Inc.|
|gallup|brand|Gallup, Inc.|
|gallup|brand|Gallup|
|gal|generic|Asociación puntoGAL|
|games|generic|Dog Beach, LLC|
|game|generic|XYZ.COM LLC|
|gap|brand|Gap|
|gap|brand|The Gap, Inc.|
|garden|generic|Registry Services, LLC|
|gay|generic|Registry Services, LLC|
|ga|country-code|Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF)|
|gbiz|brand|Charleston Road Registry Inc.|
|gbiz|brand|Google|
|gb|country-code|Reserved Domain - IANA|
|gdn|generic|Joint Stock Company "Navigation-information systems"|
|gd|country-code|The National Telecommunications Regulatory Commission (NTRC)|
|gea|brand|GEA Group Aktiengesellschaft|
|gea|brand|GEA Group|
|genting|brand|Genting Group|
|genting|brand|Resorts World Inc. Pte. Ltd.|
|gent|generic|Easyhost bv|
|gen|pseudo-sld|custom|
|george|generic|Wal-Mart Stores, Inc.|
|ge|country-code|Caucasus Online LLC|
|gf|country-code|CANAL+ TELECOM|
|ggee|generic|GMO Internet, Inc.|
|gg|country-code|Island Networks Ltd.|
|gh|country-code|Network Computer Systems Limited|
|gifts|generic|Binky Moon, LLC|
|gift|generic|Uniregistry, Corp.|
|github|pseudo-sld|custom|
|gives|generic|Public Interest Registry (PIR)|
|giving|brand|Public Interest Registry (PIR)|
|giving|brand|Public Interest Registry|
|gi|country-code|Sapphire Networks|
|glade|generic|Not assigned|
|glass|generic|Binky Moon, LLC|
|gle|brand|Charleston Road Registry Inc.|
|gle|brand|Google|
|global|generic|Identity Digital Limited|
|globo|brand|Globo Comunicação e Participações S.A|
|globo|brand|Grupo Globo|
